Time,Time Code,Country Name,Country Code,Nitrous oxide emissions (thousand metric tons of CO2 equivalent) [EN.ATM.NOXE.KT.CE],CO2 emissions (kt) [EN.ATM.CO2E.KT],Methane emissions (kt of CO2 equivalent) [EN.ATM.METH.KT.CE]
1990,YR1990,Afghanistan,AFG,2840,2380,6739.99977111816
1990,YR1990,Albania,ALB,1560,5980,3539.99996185303
1990,YR1990,Algeria,DZA,5070,62940,52650.0015258789
1990,YR1990,American Samoa,ASM,..,..,..
1990,YR1990,Andorra,AND,0,410,19.9999995529652
1990,YR1990,Angola,AGO,15370,6560,21219.9993133545
1990,YR1990,Antigua and Barbuda,ATG,10,210,129.999995231628
1990,YR1990,Argentina,ARG,35570,100320,109580.001831055
1990,YR1990,Armenia,ARM,910,19850,3650.00009536743
1990,YR1990,Aruba,ABW,..,..,..
1990,YR1990,Australia,AUS,78290,263630,138830.001831055
1990,YR1990,Austria,AUT,4970,58270,11850.0003814697
1990,YR1990,Azerbaijan,AZE,2980,53480,19219.9993133545
1990,YR1990,"Bahamas, The",BHS,20,1960,150.000005960464
1990,YR1990,Bahrain,BHR,50,10740,4820.00017166138
1990,YR1990,Bangladesh,BGD,16430,11520,66260.0021362305
1990,YR1990,Barbados,BRB,50,980,2069.9999332428
1990,YR1990,Belarus,BLR,17490,99830,20530.0006866455
1990,YR1990,Belgium,BEL,8170,109310,13260.0002288818
1990,YR1990,Belize,BLZ,100,330,6110.0001335144
1990,YR1990,Benin,BEN,1630,330,2220.00002861023
1990,YR1990,Bermuda,BMU,..,..,..
1990,YR1990,Bhutan,BTN,110,80,560.000002384186
1990,YR1990,Bolivia,BOL,5010,10410,15789.999961853
1990,YR1990,Bosnia and Herzegovina,BIH,1120,23970,5170.00007629395
1990,YR1990,Botswana,BWA,4600,2810,5630.00011444092
1990,YR1990,Brazil,BRA,106270,197900,282299.987792969
1990,YR1990,British Virgin Islands,VGB,..,..,..
1990,YR1990,Brunei Darussalam,BRN,80,3260,1320.00005245209
1990,YR1990,Bulgaria,BGR,8240,73610,16370.0008392334
1990,YR1990,Burkina Faso,BFA,4730,500,6750
1990,YR1990,Burundi,BDI,1030,170,600.000023841858
1990,YR1990,Cabo Verde,CPV,50,100,79.9999982118607
1990,YR1990,Cambodia,KHM,2730,1260,12140.0003433228
1990,YR1990,Cameroon,CMR,5360,2900,10770.0004577637
1990,YR1990,Canada,CAN,40220,419490,68970.0012207031
1990,YR1990,Cayman Islands,CYM,..,..,..
1990,YR1990,Central African Republic,CAF,8040,150,8680.00030517578
1990,YR1990,Chad,TCD,5960,390,9069.99969482422
1990,YR1990,Channel Islands,CHI,..,..,..
1990,YR1990,Chile,CHL,4650,30520,9970.00026702881
1990,YR1990,China,CHN,295770,2173360,765390.014648438
1990,YR1990,Colombia,COL,18150,48730,56340.0001525879
1990,YR1990,Comoros,COM,40,70,150.000005960464
1990,YR1990,"Congo, Dem. Rep.",COD,13390,3180,21510.0002288818
1990,YR1990,"Congo, Rep.",COG,1490,3200,4969.99979019165
1990,YR1990,Costa Rica,CRI,1640,2870,3980.00001907349
1990,YR1990,Cote d'Ivoire,CIV,2590,2710,4000
1990,YR1990,Croatia,HRV,2940,20340,4050.00019073486
1990,YR1990,Cuba,CUB,6440,35620,12649.9996185303
1990,YR1990,Curacao,CUW,..,..,..
1990,YR1990,Cyprus,CYP,320,4590,529.999971389771
1990,YR1990,Czech Republic,CZE,8020,150200,23659.9998474121
1990,YR1990,Denmark,DNK,7300,52090,9430.00030517578
1990,YR1990,Djibouti,DJI,200,270,439.999997615814
1990,YR1990,Dominica,DMA,30,60,100.000001490116
1990,YR1990,Dominican Republic,DOM,1920,7860,5960.00003814697
1990,YR1990,Ecuador,ECU,3680,15420,17809.9994659424
1990,YR1990,"Egypt, Arab Rep.",EGY,12480,87750,31309.9994659424
1990,YR1990,El Salvador,SLV,1240,2380,3220.00002861023
1990,YR1990,Equatorial Guinea,GNQ,10,60,100.000001490116
1990,YR1990,Eritrea,ERI,1220,..,2460.00003814697
1990,YR1990,Estonia,EST,1940,35280,2299.99995231628
1990,YR1990,Eswatini,SWZ,420,560,1169.99995708466
1990,YR1990,Ethiopia,ETH,23620,2310,41509.9983215332
1990,YR1990,Faroe Islands,FRO,..,..,..
1990,YR1990,Fiji,FJI,340,690,680.000007152557
1990,YR1990,Finland,FIN,6500,54560,8550.00019073486
1990,YR1990,France,FRA,61290,356240,70709.9990844727
1990,YR1990,French Polynesia,PYF,..,..,..
1990,YR1990,Gabon,GAB,320,4100,5809.99994277954
1990,YR1990,"Gambia, The",GMB,280,190,3819.9999332428
1990,YR1990,Georgia,GEO,2510,33490,13760.0002288818
1990,YR1990,Germany,DEU,65350,955310,100000
1990,YR1990,Ghana,GHA,3510,2790,5010.00022888184
1990,YR1990,Gibraltar,GIB,..,..,..
1990,YR1990,Greece,GRC,7390,75620,10829.9999237061
1990,YR1990,Greenland,GRL,..,..,..
1990,YR1990,Grenada,GRD,10,110,1720.00002861023
1990,YR1990,Guam,GUM,..,..,..
1990,YR1990,Guatemala,GTM,2370,3930,4980.00001907349
1990,YR1990,Guinea,GIN,2620,1000,4789.99996185303
1990,YR1990,Guinea-Bissau,GNB,500,170,740.000009536743
1990,YR1990,Guyana,GUY,610,1170,829.999983310699
1990,YR1990,Haiti,HTI,980,1020,3329.99992370605
1990,YR1990,Honduras,HND,1840,2450,7019.99998092651
1990,YR1990,"Hong Kong SAR, China",HKG,..,..,..
1990,YR1990,Hungary,HUN,9640,67420,11640.0003433228
1990,YR1990,Iceland,ISL,390,1950,509.999990463257
1990,YR1990,India,IND,145180,563580,509160.003662109
1990,YR1990,Indonesia,IDN,59070,148530,267899.993896484
1990,YR1990,"Iran, Islamic Rep.",IRN,16480,198470,107919.998168945
1990,YR1990,Iraq,IRQ,4160,64210,51779.9987792969
1990,YR1990,Ireland,IRL,10030,30960,15470.0002670288
1990,YR1990,Isle of Man,IMN,..,..,..
1990,YR1990,Israel,ISR,1760,33810,8340.00015258789
1990,YR1990,Italy,ITA,26420,405260,48740.0016784668
1990,YR1990,Jamaica,JAM,500,7470,1029.99997138977
1990,YR1990,Japan,JPN,27620,1090530,37470.0012207031
1990,YR1990,Jordan,JOR,480,9930,8199.99980926514
1990,YR1990,Kazakhstan,KAZ,18780,237250,40689.998626709
1990,YR1990,Kenya,KEN,10380,6140,18440.0005340576
1990,YR1990,Kiribati,KIR,0,20,9.99999977648258
1990,YR1990,"Korea, Dem. People's Rep.",PRK,4510,123330,26629.9991607666
1990,YR1990,"Korea, Rep.",KOR,7730,247680,24350.0003814697
1990,YR1990,Kosovo,XKX,..,..,..
1990,YR1990,Kuwait,KWT,290,29130,9520.00045776367
1990,YR1990,Kyrgyz Republic,KGZ,2400,22760,7320.00017166138
1990,YR1990,Lao PDR,LAO,1450,510,4820.00017166138
1990,YR1990,Latvia,LVA,2560,18780,4059.99994277954
1990,YR1990,Lebanon,LBN,400,5620,1230.00001907349
1990,YR1990,Lesotho,LSO,600,340,1000
1990,YR1990,Liberia,LBR,180,450,219.999998807907
1990,YR1990,Libya,LBY,1240,28600,57509.9983215332
1990,YR1990,Liechtenstein,LIE,0,200,0
1990,YR1990,Lithuania,LTU,5730,32220,7119.99988555908
1990,YR1990,Luxembourg,LUX,300,11290,600.000023841858
1990,YR1990,"Macao SAR, China",MAC,..,..,..
1990,YR1990,Madagascar,MDG,8170,890,16559.9994659424
1990,YR1990,Malawi,MWI,1270,550,1350.00002384186
1990,YR1990,Malaysia,MYS,7040,54620,18559.9994659424
1990,YR1990,Maldives,MDV,0,160,39.9999991059303
1990,YR1990,Mali,MLI,6200,10,8829.99992370605
1990,YR1990,Malta,MLT,60,2310,150.000005960464
1990,YR1990,Marshall Islands,MHL,0,..,19.9999995529652
1990,YR1990,Mauritania,MRT,1840,940,3990.00000953674
1990,YR1990,Mauritius,MUS,230,1160,899.999976158142
1990,YR1990,Mexico,MEX,37770,269580,92540.0009155273
1990,YR1990,"Micronesia, Fed. Sts.",FSM,0,..,0
1990,YR1990,Moldova,MDA,2140,30530,5500
1990,YR1990,Monaco,MCO,..,..,..
1990,YR1990,Mongolia,MNG,8290,12970,8710.00003814697
1990,YR1990,Montenegro,MNE,170,1920,949.999988079071
1990,YR1990,Morocco,MAR,6330,21500,8920.00007629395
1990,YR1990,Mozambique,MOZ,8060,1120,9260.00022888184
1990,YR1990,Myanmar,MMR,11070,4080,40490.0016784668
1990,YR1990,Namibia,NAM,3440,..,4409.99984741211
1990,YR1990,Nauru,NRU,0,130,0
1990,YR1990,Nepal,NPL,4110,940,16309.9994659424
1990,YR1990,Netherlands,NLD,15800,148380,29709.9990844727
1990,YR1990,New Caledonia,NCL,..,..,..
1990,YR1990,New Zealand,NZL,15030,22310,32860.0006103516
1990,YR1990,Nicaragua,NIC,2080,1930,5489.99977111816
1990,YR1990,Niger,NER,3650,570,8649.99961853027
1990,YR1990,Nigeria,NGA,20310,72770,126250
1990,YR1990,North Macedonia,MKD,960,8590,2589.99991416931
1990,YR1990,Northern Mariana Islands,MNP,..,..,..
1990,YR1990,Norway,NOR,5030,29310,5789.99996185303
1990,YR1990,Oman,OMN,310,11920,7190.00005722046
1990,YR1990,Pakistan,PAK,27740,59030,72879.997253418
1990,YR1990,Palau,PLW,..,..,9.99999977648258
1990,YR1990,Panama,PAN,1120,2690,4010.00022888184
1990,YR1990,Papua New Guinea,PNG,2930,2170,2880.00011444092
1990,YR1990,Paraguay,PRY,12680,2070,17579.9999237061
1990,YR1990,Peru,PER,6010,20880,17309.9994659424
1990,YR1990,Philippines,PHL,8960,41080,45340.0001525879
1990,YR1990,Poland,POL,24620,350210,45340.0001525879
1990,YR1990,Portugal,PRT,4020,41070,11090.0001525879
1990,YR1990,Puerto Rico,PRI,..,..,..
1990,YR1990,Qatar,QAT,100,12540,2710.00003814697
1990,YR1990,Romania,ROU,18070,172630,30510.0002288818
1990,YR1990,Russian Federation,RUS,105590,2163530,693140.014648438
1990,YR1990,Rwanda,RWA,880,550,870.000004768372
1990,YR1990,Samoa,WSM,40,90,209.999993443489
1990,YR1990,San Marino,SMR,..,..,..
1990,YR1990,Sao Tome and Principe,STP,10,50,9.99999977648258
1990,YR1990,Saudi Arabia,SAU,5150,171410,64040.0009155273
1990,YR1990,Senegal,SEN,3780,2330,6570.00017166138
1990,YR1990,Serbia,SRB,5430,61910,15130.0001144409
1990,YR1990,Seychelles,SYC,10,150,59.9999986588955
1990,YR1990,Sierra Leone,SLE,920,320,2339.99991416931
1990,YR1990,Singapore,SGP,230,28970,1279.99997138977
1990,YR1990,Sint Maarten (Dutch part),SXM,..,..,..
1990,YR1990,Slovak Republic,SVK,3970,54810,7570.00017166138
1990,YR1990,Slovenia,SVN,1120,13530,2440.00005722046
1990,YR1990,Solomon Islands,SLB,20,150,209.999993443489
1990,YR1990,Somalia,SOM,6730,730,17069.9996948242
1990,YR1990,South Africa,ZAF,19010,247660,63189.998626709
1990,YR1990,South Sudan,SSD,13610,430,14979.9995422363
1990,YR1990,Spain,ESP,22210,214950,34069.9996948242
1990,YR1990,Sri Lanka,LKA,2180,3840,17860.0006103516
1990,YR1990,St. Kitts and Nevis,KNA,10,110,70.0000002980232
1990,YR1990,St. Lucia,LCA,30,190,680.000007152557
1990,YR1990,St. Martin (French part),MAF,..,..,..
1990,YR1990,St. Vincent and the Grenadines,VCT,10,80,70.0000002980232
1990,YR1990,Sudan,SDN,17160,5370,26860.0006103516
1990,YR1990,Suriname,SUR,170,1760,769.999980926514
1990,YR1990,Sweden,SWE,6070,53350,8550.00019073486
1990,YR1990,Switzerland,CHE,2840,43330,6440.00005722046
1990,YR1990,Syrian Arab Republic,SYR,3740,32390,28860.0006103516
1990,YR1990,Tajikistan,TJK,1860,11020,4989.99977111816
1990,YR1990,Tanzania,TZA,16070,1890,21860.0006103516
1990,YR1990,Thailand,THA,14430,89220,54770.0004577637
1990,YR1990,Timor-Leste,TLS,120,..,330.000013113022
1990,YR1990,Togo,TGO,1080,980,1509.99999046326
1990,YR1990,Tonga,TON,50,80,119.999997317791
1990,YR1990,Trinidad and Tobago,TTO,270,13150,6639.9998664856
1990,YR1990,Tunisia,TUN,1930,14540,4750
1990,YR1990,Turkiye,TUR,26790,139200,38200.0007629395
1990,YR1990,Turkmenistan,TKM,2280,44650,64459.9990844727
1990,YR1990,Turks and Caicos Islands,TCA,..,..,..
1990,YR1990,Tuvalu,TUV,0,10,9.99999977648258
1990,YR1990,Uganda,UGA,5640,790,7880.00011444092
1990,YR1990,Ukraine,UKR,43100,688620,92309.9975585938
1990,YR1990,United Arab Emirates,ARE,510,55210,16459.9990844727
1990,YR1990,United Kingdom,GBR,58120,561770,109010.00213623
1990,YR1990,United States,USA,240270,4844520,649960.021972656
1990,YR1990,Uruguay,URY,6650,3850,18110.0006103516
1990,YR1990,Uzbekistan,UZB,11070,117770,36360.0006103516
1990,YR1990,Vanuatu,VUT,100,70,319.999992847443
1990,YR1990,"Venezuela, RB",VEN,10880,101630,132039.993286133
1990,YR1990,Vietnam,VNM,10940,19330,43189.998626709
1990,YR1990,Virgin Islands (U.S.),VIR,..,..,..
1990,YR1990,West Bank and Gaza,PSE,..,..,..
1990,YR1990,"Yemen, Rep.",YEM,2250,6640,8890.00034332275
1990,YR1990,Zambia,ZMB,12640,2740,12029.9997329712
1990,YR1990,Zimbabwe,ZWE,5880,16540,9609.99965667725
1990,YR1990,Africa Eastern and Southern,AFE,189480,304354.882668939,320589.996671304
1990,YR1990,Africa Western and Central,AFW,75050,97925.7968877046,225169.999979436
1990,YR1990,Arab World,ARB,70460,636128.993154742,407349.99999404
1990,YR1990,Caribbean small states,CSS,1820,27580,20369.9999079108
1990,YR1990,Central Europe and the Baltics,CEB,86850,989030,155060.00161171
1990,YR1990,Early-demographic dividend,EAR,556650,2616614.02152806,2140189.99024667
1990,YR1990,East Asia & Pacific,EAS,556840,4510718.55970298,1528850.01281835
1990,YR1990,East Asia & Pacific (excluding high income),EAP,427860,2672061.77416853,1292740.00875093
1990,YR1990,East Asia & Pacific (IDA & IBRD countries),TEA,423350,2548812.62130157,1266110.00959016
1990,YR1990,Euro area,EMU,248150,2622740,379050.000697374
1990,YR1990,Europe & Central Asia,ECS,646510,7975648.08157319,1717730.01654819
1990,YR1990,Europe & Central Asia (excluding high income),ECA,255380,3845991.79313697,1083880.0124526
1990,YR1990,Europe & Central Asia (IDA & IBRD countries),TEC,301010,4388662.17600095,1163780.01302481
1990,YR1990,European Union,EUU,333050,3562590,528600.002795458
1990,YR1990,Fragile and conflict affected situations,FCS,191500,440846.942235164,685919.990412891
1990,YR1990,Heavily indebted poor countries (HIPC),HPC,183650,61205.0312014777,312109.998533502
1990,YR1990,High income,HIC,821620,11662286.2963047,1743330.03314584
1990,YR1990,IBRD only,IBD,1186190,8938244.41699019,4079030.00192903
1990,YR1990,IDA & IBRD total,IBT,1504500,9360337.74313672,4853430.00293523
1990,YR1990,IDA blend,IDB,85750,281883.773217838,285819.998472929
1990,YR1990,IDA only,IDX,232560,138844.793428178,488580.002533272
1990,YR1990,IDA total,IDA,318310,421130.477399182,774400.001006201
1990,YR1990,Late-demographic dividend,LTE,697820,6279667.98490623,2280730.01519218
1990,YR1990,Latin America & Caribbean,LCN,268770,902966.21815323,840379.983209074
1990,YR1990,Latin America & Caribbean (excluding high income),LAC,245110,734540,667189.989015461
1990,YR1990,Latin America & the Caribbean (IDA & IBRD countries),TLA,262260,851080,825509.983651341
1990,YR1990,Least developed countries: UN classification,LDC,229230,66332.2397498856,445900.001360104
1990,YR1990,Low & middle income,LMY,1446220,8828738.3185422,4641780.00688925
1990,YR1990,Low income,LIC,160920,190456.209771756,299459.997266531
1990,YR1990,Lower middle income,LMC,503270,2244488.88259933,1729949.99593869
1990,YR1990,Middle East & North Africa,MEA,62990,863944.09564656,475689.99800086
1990,YR1990,Middle East & North Africa (excluding high income),MNA,54760,538660.506097381,362459.997117519
1990,YR1990,Middle East & North Africa (IDA & IBRD countries),TMN,54760,532860,362459.997117519
1990,YR1990,Middle income,MIC,1285300,8638739.10233084,4342320.00962272
1990,YR1990,North America,NAC,280490,5265754.99638776,718930.023193359
1990,YR1990,Not classified,INX,..,..,..
1990,YR1990,OECD members,OED,869720,11338340,1760550.03321171
1990,YR1990,Other small states,OSS,14050,84408.9196663849,38539.999967441
1990,YR1990,Pacific island small states,PSS,550,1617.8125,1589.99998308718
1990,YR1990,Post-demographic dividend,PST,815130,11378373.2960233,1630640.02934098
1990,YR1990,Pre-demographic dividend,PRE,209070,188709.74812399,465349.998541176
1990,YR1990,Small states,SST,16420,113658.609288347,60499.999858439
1990,YR1990,South Asia,SAS,198590,641530,689810.00290066
1990,YR1990,South Asia (IDA & IBRD),TSA,198590,641530,689810.00290066
1990,YR1990,Sub-Saharan Africa,SSF,264530,402373.223489904,545759.996650741
1990,YR1990,Sub-Saharan Africa (excluding high income),SSA,264520,402223.533905105,545699.996652082
1990,YR1990,Sub-Saharan Africa (IDA & IBRD countries),TSS,264530,402373.223489904,545759.996650741
1990,YR1990,Upper middle income,UMC,782030,6394510.08723789,2612370.01368404
1990,YR1990,World,WLD,2278720,20625272.9741495,6517150.03332123
1991,YR1991,Afghanistan,AFG,2930,2230,7019.99998092651
1991,YR1991,Albania,ALB,1190,4060,3500
1991,YR1991,Algeria,DZA,4860,66430,53540.0009155273
